,category,description,title,brand,asin
100,"['Travel, City & Regional', 'United States', 'Northeast']",,Time Out New York,,B00005N7UW
101,"['Travel, City & Regional', 'United States', 'South']","[""Texas Parks & Wildlife uses words and images to inspire and educate readers and encourage understanding, enjoyment and conservation of Texas' natural and cultural resources."", '', '']",,Texas Parks & Wildlife,B00005N7UM
102,"['Cooking, Food & Wine', 'Recipes & Techniques']","['This magazine is edited for people interested in food. It explores the authentic cuisines of the world, tracks recipes and ingredients to their places of origin and illuminates their history, traditions and local flavors. It includes all aspects of the world of food including eating, cooking and reading. In addition, it contains informative news about the latest in culinary trends, kitchen tips and techniques and a calendar of culinary events.']",,Bonnier Corporation,B00005N7SL
103,"[""Women's Interest"", 'Bridal & Weddings']","[""America's #1 Crochet Magazine. Filled with easy-to-follow instructions for crocheted fashions, pillows, potholders, afghans, coverlets, bridal gowns dollies and more. It's no wonder America's crochet artists turn to Quick & Easy Crochet. Refresh your enthusiasm for this wonderful craft and learn new techniques to add to your repertoire.""]",,"Grass Roots Publishing Co., Inc.",B00005N7SE
104,"['Business & Investing', 'Business Management']","['The aim of Strategy & Business is to challenge old assumptions not by telling CEOs what to think--but by laying out an agenda covering which issues are worthy of thought. The articles will be practical, but will also nudge, prod and provoke. They will be required reading for leaders.']",,Strategy & Business,B00005N7UB
105,"['Professional & Educational Journals', 'Professional & Trade', 'Humanities & Social Sciences', 'Religion & Spirituality']","[""True first-person stories by everyday people and well-known celebrities. You'll be moved and inspired by their heartwarming stories of hope and courage.""]",,"Guideposts Associates, Inc.",B00005N7QJ
106,"['Fashion & Style', 'Women']",,CosmoGIRL! (1-year),,B00005N7XS
107,"['Crafts & Hobbies', 'Woodworking']","[""WOODWORKER'S JOURNAL is designed for all woodworkers (from hobbyists to professionals) looking for new project ideas, woodworking techniques and shop jigs and tips that will enhance their time in the shop. Projects are presented in a detailed step-by-step format with photos and illustrations. A full size pattern is inserted in the middle of each issue. Departments cover joinery, finishing, products, techniques and hardware."", '', '']",,"Rockler Press, Inc",B00005N7TN
108,"['Crafts & Hobbies', 'Remote Control Vehicles']","['Model Airplane News is written for enthusiasts who truly enjoy the sport R/C model airplanes. Published since 1929, the monthly magazine includes features on construction and design, how-to techniques, comprehensive evaluations, contests, tips on building and flying, articles on electronics and full-scale aviation.']",,AirAge Publishing,B00005N7UK
109,"['Fashion & Style', 'Women']","[""Glamour gives you the best hair and beauty tips that work for your face, our popular fashion workbook geared for your shape and your budget, the real scoop on all your relationship and sex questions, plus monthly horoscopes and important health and diet news. And your favorite Dos and hilarious Don'ts!"", '<hr noshade=""true"" size=""1"" class=""bucketDivider"" /> <div class=""bucket"" id=""productDescription""> <div class=""content""> <p clear=""all""> <strong><font face=""Verdana, Arial, Helvetica, sans-serif"" color=""cc6600"">Who Reads <i>Glamour</i>?</font></strong> <br> With a circulation of nearly 2.3 million, <i>Glamour</i> is the only women\'s magazine to offer a 360-degree perspective on the reader\'s life: her relationships and her career, her clothes and her conscience, her pop culture and her politics. Sharp and smart but never cynical, <i>Glamour</i> informs readers without veering from its core message of self-acceptance. It is a magazine for women looking to stay up on the latest trends, get news-to-use advice and feel good about themselves. In other words, it\'s a magazine for every woman. No wonder <i>Glamour</i> is among the top ten best sellers in the U.S. <br clear=""all""> <br> <strong><font face=""Verdana, Arial, Helvetica, sans-serif"" color=""cc6600"">What You Can Expect in Each Issue:</font></strong> <br><ul> <li><b>Dos, Donts, News & Views:</b> A splashy section that slaps the magazine\'s famous black bar on the latest cultural trends. <li><b><i>Glamour</i> Beauty: </b> A section filled with beauty editors\' picks for the latest hair, skin and makeup products; tips, tricks and ideas; celeb trends; and alerts about troublesome phenomena (such as women buying nonprescription acne drugs online). <li><b><i>Glamour</i> Fashion: </b> Chock full of the latest styles and advice on making them work for your size, your shape and your budget, along with plenty of secrets from style honchos. <li><b>Men, Sex & Love: </b> Fun, thought-provoking looks at how women can get the love bliss they deserve. This section includes the long-running favorite ""Jake: A Man\'s Opinion,"" a column full of relationship advice from <i>Glamour</i>\'s resident guy. <li><b>Health & Bodybook: </b> Packed with news about general wellness, sexual health, nutrition, anti-cancer advice and fitness, including exclusive shape-up programs, like Body by <i>Glamour</i>. <li><b>Life & Happiness: </b>This section features columns on managing work and money, the popular ""Am I Normal?"" page in which readers can assess how their habits measure up to each others regarding spending, sleep, sex, you name it, and advice on dealing with friends, parents and bosses. <li><b><i>Glamour</i> Buzz: </b>A fun-filled section with book, movie, music and TV reviews; an interview with <i>Glamour</i>\'s latest cover celebrity (recently-featured stars include Fergie, Salma Hayek, Kate Hudson, Carrie Underwood and Maria Carey); a look at the latest star trends (insane or not); and the fun ""Would You Dare?"" column in which women act out pranks and gauge people\'s reactions (for example, sunbathing in the middle of a busy city street). <li><b><i>Glamour</i> Real Stories: </b> Here you\'ll find profiles of notable women, compelling you-won\'t-read-them-anywhere-else stories (such as ""Escape from Polygamy""), editorials and ""The Countdown,"" a list of notable cultural moments (such as women\'s worst public meltdowns ever). This section is also home to ""Global Diary,"" in which journalist <a href=""http://www.amazon.com/s/?url=search-alias%3Daps&field-keywords=Mariane+Pearl&x=0&y=0"">Mariane Pearl</a> travels to a different part of the world each month to report on courageous women making a difference in their country. <li><b>How to Do Anything Better Guide: </b> A roundup of the latest, greatest cooking and decorating ideas from top chefs and decorators. <li>Last, but not least, in every issue there\'s the magazine\'s legendary guilty pleasure, the <b>Dos & Dont\'s</b> back page, which good-naturedly points out real-life fashion triumphs and disasters. <li><b>Features:</b> <i>Glamour</i> is an invigorating cocktail of decadent beauty pages, frank and funny talk about men, lust-worthy fashion spreads, celebrity scoop, smart news reports, health updates and stories of women around the globe. </ul> <strong><font face=""Verdana, Arial, Helvetica, sans-serif"" color=""cc6600"">Past Issues:</font></strong><br> <table cellpadding=""4"" border=""0"" width=""95%"" cellspacing=""4""> <tr class=""tiny"" valign=""top"" align=""center""> <td> <img border=""0"" src=""https://images-na.ssl-images-amazon.com/images/P/B00005N7QC.01.PT01.MXXXXXXX.jpg""> </td> <td> <img border=""0"" src=""https://images-na.ssl-images-amazon.com/images/P/B00005N7QC.01.PT02.MXXXXXXX.jpg""> </td> <td> <img border=""0"" src=""https://images-na.ssl-images-amazon.com/images/P/B00005N7QC.01.PT03.MXXXXXXX.jpg""> </td> <td> <img border=""0"" src=""https://images-na.ssl-images-amazon.com/images/P/B00005N7QC.01.PT04.MXXXXXXX.jpg""> </td> <td> <img border=""0"" src=""https://images-na.ssl-images-amazon.com/images/P/B00005N7QC.01.PT05.MXXXXXXX.jpg""> </td> <td> <img border=""0"" src="" https://images-na.ssl-images-amazon.com/images/P/B00005N7QC.01.PT06.MXXXXXXX.jpg""> </td> </tr> </table> <br clear= ""all""><br> <strong><font face=""Verdana, Arial, Helvetica, sans-serif"" color=""cc6600"">Contributors:</font></strong> <br> The magazine regularly publishes articles by notable writers and celebrities such as <a href=""http://www.amazon.com/s/?url=search-alias%3Daps&field-keywords=Eve+Ensler&x=0&y=0"">Eve Ensler</a>, <a href=""http://www.amazon.com/s/?url=search-alias%3Daps&field-keywords=carrie+fisher&x=0&y=0"">Carrie Fisher</a>, <a href=""http://www.amazon.com/s/?url=search-alias%3Daps&field-keywords=nora+ephron&x=0&y=0"">Nora Ephron</a>, <a href=""http://www.amazon.com/s/?url=search-alias%3Daps&field-keywords=sheila+weller&x=0&y=0"">Sheila Weller</a>, <a href=""http://www.amazon.com/s/?url=search-alias%3Daps&field-keywords=wes+craven&x=0&y=0"">Wes Craven</a> and <a href=""http://www.amazon.com/s/?url=search-alias%3Daps&field-keywords=bob+morris&x=0&y=0"">Bob Morris</a>. <br clear= ""all""><br> <strong><font face=""Verdana, Arial, Helvetica, sans-serif"" color=""cc6600"">Magazine Layout:</font></strong> <br> <i>Glamour</i> is a proudly mainstream magazine read not by a handful of coast-dwelling cognoscenti but by 12 million women across the nation. So its design must always be accessible and inviting. That said, todays average consumer is profoundly more visually sophisticated than she was a generation ago, and <i>Glamour</i> is happily rising to a new challenge: to give its inclusive approach a bold twenty-first-century edge. <br clear= ""all""><br> <strong><font face=""Verdana, Arial, Helvetica, sans-serif"" color=""cc6600"">Comparisons to Other Magazines:</font></strong> <br> Every month <i>Glamour</i> informs, inspires and entertains. The magazine\'s friendly voice and feel-good approach to women\'s looks, body, love life--their everything--is unique in the field of magazines. Signature features include <i>Glamour</i> Women of the Year, a salute to the world\'s most inspiring women; Top 10 College Women, an annual competition that recognizes scholastic excellence; and a personal-essay contest. While <i>Glamour</i>\'s content drives the public conversation, its presence online broadens that dialogue. Through blogs, videos and personal stories, <i>Glamour</i>.com provides a rich interactive experience for young women to get more details, ask more questions and share information with one another about the topics most important to them. <br clear= ""all""><br> <strong><font face=""Verdana, Arial, Helvetica, sans-serif"" color=""cc6600"">Advertising:</font></strong> <br> <i>Glamour</i> magazine attracts the largest advertisers in our category. From beauty to fashion to automotive to health, the magazine is continuously attracting the best brands in the business. <i>Glamour</i> made Adweek\'s ""Hot List"" of Top 10 Magazines in both 2007 and 2006, as well as Ad Age\'s ""A-List"" of Top 10 Magazines in 2005. <br clear= ""all""><br> <strong><font face=""Verdana, Arial, Helvetica, sans-serif"" color=""cc6600"">Awards:</font></strong> <br> <i>Glamour</i> is the most celebrated women\'s magazine in America today, having won 170 journalism awards. Recent ones include: The National Magazine Award for Personal Service in 2007; The National Magazine Award for General Excellence in 1995 and in 1991; Four Exceptional Merit Media Awards from the National Women\'s Political Caucus; Three Clarion Awards from Women in Communications and Five Front Page Awards from The Newswomen\'s Club of New York. </b> </div> <hr noshade=""true"" size=""1"" class=""bucketDivider"" /> <div class=""bucket"" id=""productDescription""> <div class=""content""> <p clear=""all""> <strong><font face=""Verdana, Arial, Helvetica, sans-serif"">Amazon.com Review</font></strong> <br> <i>Glamour</i> is the twentysomething woman\'s ""Miss Manners"" and charm-school bible, bursting at the seams with intimations, propositions, and warnings: how to dress for a dinner party, how to turn him on in five minutes, how to avoid the dreaded ""fashion don\'t."" <i>Glamour</i>\'s mission is to help the young woman trapped between <i>Seventeen</i> and <i>Vogue</i> find her way to becoming a happier, healthier, sexier gal. Unabashedly girly, including all the things we\'ve come to expect from beauty and fashion mags--celebrity style gossip, hot trends in hair and makeup, quizzes, and quick fixes for everything from broken nails to fractured friendships--<i>Glamour</i> is girl talk, pure and simple. --<i>Daphne Durham</i> </div> </div> </div>']",,Conde Nast Publications,B00005N7QC
110,"['Business & Investing', 'Investing']","[""Kiplinger's Retirement Report provides authoritative help to plan and enjoy a worry-free retirement. Every month you'll find dozens of practical strategies to help grow your retirement savings, make your money last in retirement, find the best mutual and bond funds, get the best rates on U.S. Treasuries, CDs and money-market funds, maximize Social Security and Medicare benefits, create a comprehensive estate plan, reduce health care and insurance costs, minimize taxes, find the best travel deals, discover great second career opportunities, and much more.""]",,Kiplinger Washington Editors,B00005N7R6
111,"['Literary, Sci-Fi & Mystery', 'Science Fiction & Fantasy', 'Science Fiction']","['Provides an unbeatable combination of stimulating fiction stories, provocative editorials, and fascinating science-fact articles. Explore the boundaries of the imagination beginning at the frontiers of actual scientific research.']",,Penny Press,B00005N7VP
112,"['Travel, City & Regional', 'United States', 'South']","['Atlanta is a general interest city magazine covering the Metro-Atlanta area, featuring a range of human interests including politics, culture, social concerns, business, the environment, lifestyles and personalities.']",,Hour Media Llc,B00005N7XI
113,"['Literary, Sci-Fi & Mystery', 'Science Fiction & Fantasy', 'Science Fiction']","[""The most celebrated authors in the field of science fiction share their visions with stories that launch you into the fantastic worlds of tomorrow. Join the vanguard of science fiction with a subscription to Asimov's Science Fiction.""]",,Penny Press,B00005N7VQ
114,"['Literary, Sci-Fi & Mystery', 'Literary Magazines & Journals']","[""Readers of London Review of Books are not only interested in books, but the culture that creates them. Reviews often discuss the entire topic of the book, not only critique its quality. The book's influence and place in society is also discussed in a lively manner.""]",,Pro Circ,B00005N7XF
115,"['Professional & Educational Journals', 'Professional & Trade', 'Humanities & Social Sciences', 'History']","['Wild West gives you the true history of the people, places and events that led to the taming of the Great American frontier. Explore the fascinating aspects of Western lore and culture that are so much a part of the American heritage. From Native Americans, miners and mountain men to gamblers.']",,History Net,B00005N7VL
116,"['Cooking, Food & Wine', 'Recipes & Techniques']","[""The world of food is huge, and Food & Wine magazine covers it thoroughly. From tasty gourmet recipes you can make at home to the best food lover's destinations, from handy tools that belong in every kitchen to a rundown of the world's most exciting new liquors and wines, Food & Wine Magazine brings you exciting and useful articles and features. Each issue includes several long features and regular columns written by some of the best chefs and food experts in the industry. <br /><br /> Food & Wine magazine was founded on the principle that delights in the best food and drink should not be reserved for the self-appointed epicureans and experts, but should rather be accessible to everyone. Recipes are designed to be just as manageable for a chef hobbyist as an experienced restaurateur. Food meccas covered within its pages include ordinary places like Water Valley, Mississippi, as well as more exotic locales like New Orleans or Naples, Italy. <br /><br /> Regular columns in Food & Wine Magazine include suggestions for selecting the best foods and beverages, kitchen basics tutorials, wine guides, fast recipes, entertaining tips, and new foods to try. The online magazine portal enhances the print magazine with video tutorials and slideshows, and the blog has clever tips and ideas for enhancing your food and entertaining lifestyle. Even the magazine's advertisements add to the content, keeping you informed of new foodie developments and providing fresh recipes and ideas the magazine has not yet covered. <br /><br /> For a magazine you'll want to save and savor, a subscription to Food & Wine Magazine provides the perfect pairing."", '<hr noshade=""true"" size=""1"" class=""bucketDivider"" /> <div class=""bucket"" id=""productDescription""> <div class=""content""> <p clear=""all""> <strong><font face=""Verdana, Arial, Helvetica, sans-serif"" color=""cc6600"">Who Reads <i>Food & Wine</i>?</font></strong> <br> <i>Food & Wine</i> is the contemporary magazine for elegant dining and entertaining. <i>Food & Wine</i> is on a mission to find the most exciting places, new culinary experiences, emerging trends and sensations. <i>Food & Wine</i> readers are hungry for more than just the next great meal -- they seek an energetic and stylish take on living well. <br clear=""all""> <br> <strong><font face=""Verdana, Arial, Helvetica, sans-serif"" color=""cc6600"">What You Can Expect in Each Issue:</font></strong> <br> <ul> <li><b>Chef Recipes Made Easy:</b> Our test kitchens simplify recipes from great restaurants and famous chefs. <li><b>Well-Being: </b> Great, Healthy Recipes <li><b>Wine Matters: </b> Our regular column about wine <li><b>Travel: </b> An exploration of a thrilling food destination and recipes that bring the local cuisine to your kitchen. Each issue also contains a Recipe Guide and a Wine Guide, making it easy to find each recipe and wine within the pages of the magazine. <li><b>Feature Articles:</b> Feature articles in each issue cover a broad range of topics guaranteed to be of interest to our readers. Reports on new culinary trends, new restaurants, travel destinations with important and exciting culinary experiences, profiles of major chefs, advice about wine and wine pairings, and of course, amazing recipes -- all tested and perfected in the <i>Food & Wine</i> test kitchen. </ul> <strong><font face=""Verdana, Arial, Helvetica, sans-serif"" color=""cc6600"">Special Issues Included in Your Subscription:</font></strong> <br> <ul>Each July, the <i>Food & Wine</i> Best New Chefs are announced -- naming ten up-and-coming rising stars in the culinary world. Past Best New Chefs include notables such as <a href=http://www.amazon.com/s/qid=1241734406/ref=a9_sc_1?ie=UTF8&search-alias=aps&field-keywords=daniel%20boulud>Daniel Boulud</a>, <a href=http://www.amazon.com/s/ref=nb_ss_gw?url=search-alias%3Daps&field-keywords=Tom+Colicchio&x=0&y=0>Tom Colicchio</a>, <a href=http://www.amazon.com/s/ref=nb_ss_gw?url=search-alias%3Daps&field-keywords=Todd+English+&x=0&y=0>Todd English</a> and <a href=http://www.amazon.com/s/ref=nb_ss_gw?url=search-alias%3Daps&field-keywords=Thomas+Keller&x=0&y=0>Thomas Keller</a>. The October issue focuses on wine, revealing the winners of <i>Food & Wine</i>\'s American Wine Awards. <br clear=""all""> <br> <strong><font face=""Verdana, Arial, Helvetica, sans-serif"" color=""cc6600"">Magazine Layout:</font></strong> <br> The pages of <i>Food & Wine</i> are designed in a contemporary style. Recipes are easy to read and the instructions have been tested so they are complete and easy to follow. Feature stories are accompanied by beautiful, mouth-watering photographs. <br/><br/> <br> <strong><font face=""Verdana, Arial, Helvetica, sans-serif"" color=""cc6600"">Contributors:</font></strong><br> Contributors are chosen for their knowledge of and passion for the culinary lifestyle, including luminaries in the restaurant world, such as <a href=http://www.amazon.com/s/ref=nb_ss_gw?url=search-alias%3Daps&field-keywords=Jacques+Pepin+&x=0&y=0>Jacques Pepin</a> and <a href=http://www.amazon.com/s/ref=nb_ss_gw?url=search-alias%3Daps&field-keywords=Jean-George+Vongerichten&x=0&y=0>Jean-Georges Vongerichten</a>, to cookbook authors, expert wine-makers and food artisans. <br clear= ""all""><br> <strong><font face=""Verdana, Arial, Helvetica, sans-serif"" color=""cc6600"">Past Issues:</font></strong><br> <table cellpadding=""4"" border=""0"" width=""95%"" cellspacing=""4""> <tr class=""tiny"" valign=""top"" align=""center""> <td> <img border=""0"" src=""https://images-na.ssl-images-amazon.com/images/P/B00005NINY.01.PT01.MXXXXXXX.jpg""> </td> <td> <img border=""0"" src=""https://images-na.ssl-images-amazon.com/images/P/B00005NINY.01.PT02.MXXXXXXX.jpg""> </td> <td> <img border=""0"" src=""https://images-na.ssl-images-amazon.com/images/P/B00005NINY.01.PT03.MXXXXXXX.jpg""> </td> <td> <img border=""0"" src=""https://images-na.ssl-images-amazon.com/images/P/B00005NINY.01.PT04.MXXXXXXX.jpg""> </td> <td> <img border=""0"" src=""https://images-na.ssl-images-amazon.com/images/P/B00005NINY.01.PT05.MXXXXXXX.jpg""> </td> <td> <img border=""0"" src="" https://images-na.ssl-images-amazon.com/images/P/B00005NINY.01.PT06.MXXXXXXX.jpg""> </td> </tr> </table> <br clear= ""all""><br> <strong><font face=""Verdana, Arial, Helvetica, sans-serif"" color=""cc6600"">Comparisons to Other Magazines:</font></strong> <br> <i>Food & Wine</i> is not just a compilation of recipes, but rather covers the entire range of topics of interest for our sophisticated readers: profiles of chefs (from the luminaries of the restaurant world to the up-and-coming chefs who are the superstars of tomorrow), travel destinations explored through their tastes and flavors, and expert advice about the best buys in wine (from the most worthwhile splurges to great bargains) and wine pairings. <br clear= ""all""><br> <strong><font face=""Verdana, Arial, Helvetica, sans-serif"" color=""cc6600"">Advertisers:</font></strong> <br> Most of the advertising in <i>Food & Wine</i> is specific to the culinary interests of its readers: including food products and ingredients, kitchen equipment, wine merchants, and destination travel advertisements. <br clear= ""all""><br> <strong><font face=""Verdana, Arial, Helvetica, sans-serif"" color=""cc6600"">Awards:</font></strong> <br> The James Beard Foundation has honored <i>Food & Wine</i> many times over the years, for journalism about the restaurant industry, emerging food trends, and wine coverage. <i>Food & Wine</i> also was the Gold Winner of the 2008 Folio Eddie Award, for the September 2007 anniversary issue.<br><br> The <i>Food & Wine</i> Classic in Aspen is America\'s premier culinary event. Hailed by the New York Times as ""the granddaddy of them all"", the event features three incomparable days of cooking demonstrations, wine tastings, seminars and panel discussions by world-class talent, such as Jacques Pepin, Bobby Flay, Emeril Lagasse, Mario Batali, and Danny Meyer. <i>Food & Wine</i> is also proud to be a sponsor of Bravo\'s Top Chef. </b> </div> </div> </div> <b>Amazon.com Review</b> <br> Focusing on a central theme in each issue, such as 25 party ideas (number 25: nautical party) or 35 quick and tasty dishes, <I>Food & Wine</I> indulges a broad range of culinary connoisseurs and thirsty enophiles. Expect a number of well-rounded recipes and festive commentary on the theme at hand, but don\'t expect that <I>Food & Wine</I> will be weighed down by said theme--each issue also contains a home shopping guide (in case you need to know where to purchase a green bamboo tray), restaurant reviews, a Drinks/Wine section, and shorter articles that run from ""Win a Date with a Chef"" to ""The Joy of Slow Cooking."" <I>--A.J. Rathbun</I>']",,Meredith Corporation,B00005NINY
117,"['Professional & Educational Journals', 'Professional & Trade', 'Humanities & Social Sciences', 'History']","['NATIONAL GEOGRAPHIC, the flagship magazine of the National Geographic Society, chronicles exploration and adventure, as well as changes that impact life on Earth. Editorial coverage encompasses people and places of the world, with an emphasis on human involvement in a changing universe. Major topics include culture, nature, geography, ecology, science and technology.', ""National Geographic magazine has maintained its status as one of the most-read publications for over one hundred years because of its quality educational content, riveting emotional stories, and vivid photographic essays. Its in-depth analysis of breaking news and detailed coverage of trending topics delves deep into the topics of geography, popular science, history, culture, and current events. It also includes informative articles on the environment, stunning images of Mother Nature at her best, and exhilarating tales of wild adventures. <br /><br /> National Geographic magazine offers you an inside look at the most interesting people and places from all over the world. Many stories contain detailed maps and images that take you along for the incredible journey. National Geographic magazine is designed to inspire, inform, and entertain a vast audience through compelling editorials and breathtaking photography. It also hosts a variety of written composition, artistic, and photography contests for potential future contributors. <br /><br /> National Geographic magazine's content is thoroughly researched to provide you with credible information that you know you can trust. It relies on its exceptionally high standards and experienced journalists to uphold its timeless tradition of high-quality original content. The iconic magazine focuses on anything and everything that makes this world exciting, so you will have a hard time putting it down once you start reading. <br /><br /> A subscription to National Geographic magazine will give you the ability to travel the world we live in from the comfort of your own home and possibly inspire you to visit new and adventurous places in real life.""]",,National Geographic Partners LLC,B00005NIOH
118,"['Health, Fitness & Wellness', 'Health']","[""With Self as your guide, you'll discover the secrets to living and feeling better. At only $1 an issue, it's the investment of a healthy lifetime. Challenge yourSELF, express yourSELF, reward yourSELF and subscribe to SELF! In every monthly issue, Self will help you relieve stress, trim down, tone up, relax your mind, and enhance your body."", '<hr noshade=""true"" size=""1"" class=""bucketDivider"" /> <div class=""bucket"" id=""productDescription""> <b class=""h1"">Editorial Reviews</b><br /> <div class=""content""> <p clear=""all""> <strong><font face=""Verdana, Arial, Helvetica, sans-serif"" color=""cc6600"">Who Reads <i>SELF</i>?</font></strong> <br> <i>SELF</i> is a motivating monthly self-help manual that gives its 5 million readers the tools and inspiration they need to feel, look and be their very best. Our readers are women looking to slim down, firm up, feel stronger and more energetic or all of the above. They come to <i>SELF</i> for advice on fitness, healthy eating, beauty, fashion, health, relationships, time management and finances. The magazine attends to the reader\'s need to look fantastic, but also to live a truly healthy life. <i>SELF</i>\'s voice is of the reader\'s smartest, most encouraging friend, urging her to be herself, only better. <br clear=""all""> <br> <strong><font face=""Verdana, Arial, Helvetica, sans-serif"" color=""cc6600"">What You Can Expect in Each Issue:</font></strong><br> Regular sections of <i>SELF</i> include: <ul> <li><b>15 Minutes to Your Best Self:</b> Timesaving tips <li><b>Beauty Update</b> and <b>Fitness Update</b> <li><b>Body Bonus:</b> Tear-out fitness cards <li><b>Style it Yourself</b> and <b>Style Solutions</b> <li><b>Eat-right Update</b> and <b>Eat-right Need-to-Know</b> <li><b>Health Plate:</b> Recipes <li><b>Health Update</b> and <b>Health Q&A</b> <li><b>Health True Story</b> <li><b>Happiness Update</b> and <b>Sex Update</b> <li>Plus <b>Flash news</b> columns throughout the magazine. </ul> <b>Feature Articles:</b> <i>SELF</i> offers features on beauty, fitness, health, style, happiness and more in every issue, as well as thought-provoking personal essays. A recent issue featured ""Walk Your Way Slim,"" ""Green Your Beauty Routine,"" ""Natural Cures that Work,"" and ""The Disorder Next Door,"" a special report on disordered eating habits. Also in the issue: A profile of actress and cover model Jennifer Garner. <br clear=""all""><br> <strong><font face=""Verdana, Arial, Helvetica, sans-serif"" color=""cc6600"">Past Issues:</font></strong><br> <table cellpadding=""4"" border=""0"" width=""95%"" cellspacing=""4""> <tr class=""tiny"" valign=""top"" align=""center""> <td> <img border=""0"" src=""https://images-na.ssl-images-amazon.com/images/P/B00005NIOS.01.PT01.MXXXXXXX.jpg""> </td> <td> <img border=""0"" src=""https://images-na.ssl-images-amazon.com/images/P/B00005NIOS.01.PT02.MXXXXXXX.jpg""> </td> <td> <img border=""0"" src=""https://images-na.ssl-images-amazon.com/images/P/B00005NIOS.01.PT03.MXXXXXXX.jpg""> </td> <td> <img border=""0"" src=""https://images-na.ssl-images-amazon.com/images/P/B00005NIOS.01.PT04.MXXXXXXX.jpg""> </td> <td> <img border=""0"" src=""https://images-na.ssl-images-amazon.com/images/P/B00005NIOS.01.PT05.MXXXXXXX.jpg""> </td> <td> <img border=""0"" src="" https://images-na.ssl-images-amazon.com/images/P/B00005NIOS.01.PT06.MXXXXXXX.jpg""> </td> </tr> </table> <br> <strong><font face=""Verdana, Arial, Helvetica, sans-serif"" color=""cc6600"">Contributors:</font></strong><br> <i>SELF</i> relies on a team of diligent reporters and researchers to bring women the latest news on health, fitness, happiness and more. The magazine\'s regular columnists include nutrition expert <a href="" http://www.amazon.com/s/ref=nb_ss_b?url=search-alias%3Dstripbooks&field-keywords=Joy+Bauer&x=0&y=0"">Joy Bauer, R.D.</a>, women\'s health columnist Lisa Callahan, M.D., psychiatrist and happiness columnist Catherine Birndorf, M.D. and fitness director Meaghan Buchan, a certified trainer. <br clear= ""all""><br> <strong><font face=""Verdana, Arial, Helvetica, sans-serif"" color=""cc6600"">Magazine Layout</font></strong> <br> <i>SELF</i>\'s design is clean and impactful, its models happy, confident and relaxed. Reading <i>SELF</i>, you will always find visual ""aaah"" moments, as well as breathtaking, inspirational photos and humorous and thought-provoking images. <br clear= ""all""><br> <strong><font face=""Verdana, Arial, Helvetica, sans-serif"" color=""cc6600"">Comparisons to Other Magazines</font></strong> <br> Many magazines focus on health and fitness, but <i>SELF</i> does so in the most authoritative and sophisticated way. <i>SELF</i> is the only magazine with a regular ""happiness"" column, and that upbeat, encouraging mood permeats the magazine. <i>SELF</i> is the trainer you want to hug at the end of a session--not the boot-camp instructor. It\'s the magazine that feels like a friend, and the one you want to share with your friends. <br clear= ""all""><br> <strong><font face=""Verdana, Arial, Helvetica, sans-serif"" color=""cc6600"">Advertising</font></strong> <br> <i>SELF</i> carries a wide range of advertising, from beauty to automotive to packaged goods. The ad/edit ratio is 50/50. <i>SELF</i>s top five ad categories are beauty, food/beverages, travel/transportation (including automotive), health/remedies and retail. <br clear=""all""> <br> <strong><font face=""Verdana, Arial, Helvetica, sans-serif"" color=""cc6600"">Awards</font></strong> <br> <i>SELF</i> has won dozens of awards for its reporting on health, beauty and psychology topics and has been nominated for a total of 11 National Magazine Awards, the magazine industry\'s highest honor. The magazine\'s 2006 Breast Cancer Handbook won the National Magazine Award for Public Service. <br clear=""all""> <br> <strong><font face=""Verdana, Arial, Helvetica, sans-serif"" color=""cc6600"">More About <i>SELF</i>:</font></strong> <br> <i>SELF</i> is the founder of the Pink Ribbon for breast cancer awareness and publishes its Women\'s Cancer Handbook in the October issue. <i>SELF</i> also hosts the <i>SELF</i> Challenge, a remarkably effective three-month fitness and healthy eating program in the magazine and online at Self.com. More than a million women have used the Challenge to slim down, shape up and feel fantastic. <br clear=""all""> <br> </b> </div> </div>']",,Conde Nast Publications,B00005NIOS
119,"['Entertainment & Pop Culture', 'Celebrities & Gossip']",,National Enquirer,,B00005NIOG
120,"['Travel, City & Regional']","['The focus of this magazine is on the culture, history, resorts, shopping, cuisine and water sports of the Caribbean, Bahamas and Bermuda. It features articles about the things which are new and trendy in life and travel in the Caribbean.', '', '']",,Bonnier Corporation,B00005NINH
121,"['Travel, City & Regional', 'United States', 'West']","['Where to go, what to do, and how to enjoy your visit to this tropical paradise to its fullest. Discover little-known hideaways, outdoor adventures, top dining experiences, and the interesting history of the Islands. Includes travel tips, profiles of interesting people and breathtaking photos.', '', '']",,Pacific Basin Communications,B00005NIO2
122,"['Health, Fitness & Wellness', 'Health']","['Prevention magazine gives you healthy solutions you can really live with. Every issue delivers the latest news and trends on health, food and nutrition, family, fitness, and more!', '', '', '', '']",,Hearst Magazines,B00005NIOO
123,"['Parenting & Families', 'Parenting']","['Parents focuses on child development and is a great resource for families with young children. Scientific information on adolescent health, behavior and education are published regularly, in addition to product reviews and fun craft ideas. Being a parent is a hard job, and this magazine is designed to help.', '', '']",,Meredith,B00005NIOM
